Name,Category,Price,Description,IsVeg,IsCombo,ComboPrices
Danchi Kottina Kodivepudu,Special Status Non Veg,240,,false,false,
Danchi Kottina Mutton Vepudu,Special Status Non Veg,290,,false,false,
Dhanchi Kottina Chepa Vepudu,Special Status Non Veg,220,,false,false,
Karivepaku Kodi Vepudu,Special Status Non Veg,220,,false,false,
Karivepaku Mutton Vepudu,Special Status Non Veg,290,,false,false,
Kottimeera Kodi,Special Status Non Veg,240,,false,false,
Kottimeera Mutton,Special Status Non Veg,290,,false,false,
Kottimeera Chepa,Special Status Non Veg,220,,false,false,
Aritaku Kodi Mukka,Special Status Non Veg,260,,false,false,
Arithaku Chepa Mukka,Special Status Non Veg,240,,false,false,
Jeedipappu Royyala Vepudu,Special Status Non Veg,240,,false,false,
Chandramukhi Chicken,Special Status Non Veg,250,,false,false,
Chicken Flater,Common Starters,350,,false,false,
Chilli Chicken,Common Starters,200,,false,false,
Chicken 65,Common Starters,200,,false,false,
Chicken Manchurian,Common Starters,200,,false,false,
Schezwan Chicken,Common Starters,200,,false,false,
Pepper Chicken,Common Starters,200,,false,false,
Slice Chilli Chicken,Common Starters,200,,false,false,
Chicken 555,Common Starters,200,,false,false,
Chicken Majestic,Common Starters,220,,false,false,
Dragon Chicken,Common Starters,220,,false,false,
Chicken Wings,Common Starters,200,,false,false,
Chicken Drumsticks,Common Starters,200,,false,false,
Chicken Lollipop,Common Starters,210,,false,false,
Crispy Chicken,Common Starters,220,,false,false,
Kanchana Kabab,Tandoori Non Veg Status,300,,false,false,
Tandoori Chicken Half,Tandoori Non Veg Status,250,,false,false,
Tandoori Chicken Full,Tandoori Non Veg Status,450,,false,false,
Chicken Tikka (SP),Tandoori Non Veg Status,240,,false,false,
Chicken Malai Tikka,Tandoori Non Veg Status,280,,false,false,
Lasuni Kabab,Tandoori Non Veg Status,250,,false,false,
Tandoori Kabab,Tandoori Non Veg Status,280,,false,false,
Pachi Mirchi Kodi Kabab,Tandoori Non Veg Status,250,,false,false,
Tandoori Prawns Tikka,Tandoori Non Veg Status,250,,false,false,
Achari Fish Tikka,Tandoori Non Veg Status,260,,false,false,
Achari Chicken Tikka,Tandoori Non Veg Status,250,,false,false,
Peri Peri Chicken Wings,Tandoori Non Veg Status,210,,false,false,
Punjabi Chicken Tikka,Tandoori Non Veg Status,300,,false,false,
Chicken Curry,Non Veg Curries,200,,false,false,
Rayalaseema Chicken Curry,Non Veg Curries,200,,false,false,
Kadai Chicken Curry,Non Veg Curries,200,,false,false,
Special Chicken Curry,Non Veg Curries,200,,false,false,
Andhra Chicken Curry,Non Veg Curries,200,,false,false,
Hyderabad Chicken Curry,Non Veg Curries,200,,false,false,
Butter Chicken Curry,Non Veg Curries,220,,false,false,
